funcType,funcTargetType,buffType,buffName,scriptKeys,origScriptKeys,condTarget,functvals,count,top5servants,sources,classification
"addStateShort","self","upCriticalrate","Critical Hit Rate Up","ProgressSelfTurn","ProgressSelfTurn","false","false","547","1,100,101,102,103","skill,np,passive","cosmetic"
"hastenNpturn","self","","","","","false","false","450","1,100,101,103,105","skill,np,passive","cosmetic"
"addStateShort","self","upCriticaldamage","Critical Strength Up","","","false","false","413","1,101,102,105,106","skill,passive,np","cosmetic"
"addState","self","upTolerance","Debuff Resist Up","","","false","false","357","1,10,101,102,108","passive,skill","long_tail"
"gainNp","self","","","","","false","false","334","1,100,101,105,106","skill,np,passive","handled"
"addStateShort","self","upCommandall","Arts Up","","","false","false","297","100,102,103,104,107","passive,skill,np","handled"
"addStateShort","self","upCommandall","Buster Up","ProgressSelfTurn","ProgressSelfTurn","false","false","284","1,104,106,108,11","skill,np,passive","handled"
"addStateShort","self","upCommandall","Quick Up","","","false","false","282","1,10,101,104,105","passive,skill,np","handled"
"gainStar","self","","","","","false","false","238","1,101,102,105,106","skill,np","cosmetic"
"damageNp","enemyAll","","","","","false","false","220","100,103,104,108,112","np","handled"
"addStateShort","self","upNpdamage","NP Strength Up","ProgressSelfTurn","ProgressSelfTurn","false","false","167","100,112,113,116,12","skill,np,passive","handled"
"addStateShort","self","upAtk","ATK Up","ProgressSelfTurn","ProgressSelfTurn","false","false","160","1,11,118,123,131","skill,np","handled"
"addStateShort","ptAll","upAtk","ATK Up","ProgressSelfTurn","ProgressSelfTurn","false","false","159","1,101,106,108,112","np,skill","handled"
"damageNp","enemy","","","","","false","false","151","105,106,109,110,113","np","handled"
"addStateShort","self","addDamage","Damage Plus","","","false","false","136","101,108,111,112,113","passive,skill","long_tail"
"hastenNpturn","ptAll","","","","","false","false","135","1,100,103,113,118","skill,np","cosmetic"
"addStateShort","self","regainStar","Gain C. Stars Each Turn","","","false","false","127","100,103,121,130,140","skill,np,passive","cosmetic"
"none","self","","","","","false","false","124","1,114,132,136,138","np,passive","cosmetic"
"addState","self","upCriticalpoint","C. Star Drop Rate Up","ProgressSelfTurn","ProgressSelfTurn","false","false","119","108,109,11,110,112","skill,passive,np","cosmetic"
"addState","self","avoidance","Evade","ProgressSelfTurn","ProgressSelfTurn","false","false","116","10,102,105,11,110","skill,np","cosmetic"
"addStateShort","self","upStarweight","C. Star Gather Up","","","false","false","112","101,102,105,106,114","skill,np,passive","cosmetic"
"addStateShort","enemyAll","downDefence","DEF Down","ProgressSelfTurn","ProgressSelfTurn","false","false","110","10,100,108,112,117","np,skill","handled"
"addState","self","guts","Guts","INDIVIDUALITIE|checkIndvType","INDIVIDUALITIE|checkIndvType","false","false","101","101,107,112,120,123","skill,np","cosmetic"
"addState","self","upDefence","DEF Up","","","false","false","98","10,103,11,116,118","skill,np","cosmetic"
"addStateShort","self","upDropnp","NP Gain Up","","","false","false","92","1,110,111,12,128","skill,np,passive","handled"
"addState","self","upHate","Target Focus Up","","","false","false","84","1,10,113,133,140","skill,np","cosmetic"
"addState","self","invincible","Invincible","","","false","false","81","1,106,111,128,130","skill,np","cosmetic"
"gainNp","ptAll","","","","","false","false","80","1,100,118,125,145","skill,np","handled"
"gainHp","self","","","","","false","false","79","10,101,107,110,115","skill,np","cosmetic"
"damageNpIndividual","enemyAll","","","","","false","false","78","1,12,169,188,196","np","handled"
